,#,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop,Population,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
72,72.0,Azerbaijan,792585,6.0,9709.0,,782804.0,18.0,72.0,,76899.0,942.0,6820672.0,661759.0,10306888.0,13.0,1062.0,2.0,0.6,,7.0
73,73.0,Panama,778310,652.0,8188.0,3.0,763639.0,469.0,6483.0,8.0,175319.0,1844.0,5887808.0,1326263.0,4439396.0,6.0,542.0,1.0,147.0,0.7,1460.0
74,74.0,Saudi Arabia,754340,102.0,9093.0,,742019.0,113.0,3228.0,52.0,21066.0,254.0,41921522.0,1170708.0,35808699.0,47.0,3938.0,1.0,3.0,,90.0
75,75.0,Sri Lanka,663426,18.0,16506.0,1.0,646131.0,2.0,789.0,,30745.0,765.0,6486117.0,300589.0,21578015.0,33.0,1307.0,3.0,0.8,0.05,37.0
76,76.0,Paraguay,649455,,18870.0,,624673.0,,5912.0,2.0,89048.0,2587.0,2623300.0,359686.0,7293312.0,11.0,387.0,3.0,,,811.0
77,77.0,Kuwait,631409,,2555.0,,628090.0,,764.0,8.0,143945.0,582.0,8007805.0,1825573.0,4386460.0,7.0,1717.0,1.0,,,174.0
78,78.0,Myanmar,612924,10.0,19434.0,,591879.0,32.0,1611.0,,11128.0,353.0,7978264.0,144851.0,55079184.0,90.0,2834.0,7.0,0.2,,29.0
79,79.0,Palestine,581940,,5353.0,,576242.0,,345.0,17.0,109409.0,1006.0,3078533.0,578785.0,5318954.0,9.0,994.0,2.0,,,65.0
80,80.0,Dominican Republic,579443,,4376.0,,574726.0,,341.0,1.0,52450.0,396.0,3279736.0,296875.0,11047540.0,19.0,2525.0,3.0,,,31.0
81,81.0,Estonia,572434,241.0,2548.0,9.0,511857.0,818.0,58029.0,3.0,430994.0,1918.0,3329716.0,2506992.0,1328172.0,2.0,521.0,0.0,181.0,7.0,43691.0
82,82.0,Bahrain,569727,357.0,1476.0,,565160.0,425.0,3091.0,2.0,314761.0,815.0,9730202.0,5375704.0,1810033.0,3.0,1226.0,0.0,197.0,,1708.0
83,83.0,Venezuela,522550,36.0,5709.0,,515769.0,41.0,1072.0,230.0,18472.0,202.0,3359014.0,118743.0,28288101.0,54.0,4955.0,8.0,1.0,,38.0
84,84.0,Moldova,516986,,11489.0,,504142.0,,1355.0,49.0,128707.0,2860.0,3216305.0,800721.0,4016759.0,8.0,350.0,1.0,,,337.0
85,85.0,Egypt,515645,,24613.0,,442182.0,,48850.0,122.0,4870.0,232.0,3693367.0,34884.0,105875571.0,205.0,4302.0,29.0,,,461.0
86,86.0,Libya,501904,,6430.0,,490973.0,,4501.0,101.0,71265.0,913.0,2477219.0,351740.0,7042747.0,14.0,1095.0,3.0,,,639.0
87,87.0,Cyprus,474267,,1020.0,,124370.0,,348877.0,60.0,387635.0,834.0,9477138.0,7746000.0,1223488.0,3.0,1199.0,0.0,,,285150.0
88,88.0,Ethiopia,470609,22.0,7510.0,,455711.0,320.0,7388.0,9.0,3916.0,62.0,4796596.0,39909.0,120187071.0,255.0,16004.0,25.0,0.2,,61.0
89,89.0,Mongolia,469885,,2179.0,,313256.0,,154450.0,192.0,139219.0,646.0,4030048.0,1194033.0,3375157.0,7.0,1549.0,1.0,,,45761.0
90,90.0,Honduras,423775,57.0,10895.0,2.0,132358.0,,280522.0,105.0,41572.0,1069.0,1357403.0,133162.0,10193652.0,24.0,936.0,8.0,6.0,0.2,27519.0
91,91.0,Armenia,422874,,8622.0,,412019.0,16.0,2233.0,,142219.0,2900.0,3057702.0,1028350.0,2973407.0,7.0,345.0,1.0,,,751.0
92,92.0,Oman,389126,,4258.0,,384243.0,,625.0,4.0,72804.0,797.0,25000000.0,4677399.0,5344851.0,14.0,1255.0,0.0,,,117.0
93,93.0,Bosnia and Herzegovina,377087,,15765.0,,192218.0,,169104.0,,116264.0,4861.0,1758191.0,542087.0,3243377.0,9.0,206.0,2.0,,,52138.0
94,94.0,Réunion,374295,,742.0,,355605.0,,17948.0,10.0,412656.0,818.0,1603660.0,1768019.0,907038.0,2.0,1222.0,1.0,,,19787.0
95,95.0,Qatar,364778,50.0,677.0,,363573.0,57.0,528.0,3.0,129916.0,241.0,3449841.0,1228661.0,2807805.0,8.0,4147.0,1.0,18.0,,188.0
96,96.0,Kenya,323796,4.0,5649.0,,318010.0,8.0,137.0,,5788.0,101.0,3603531.0,64413.0,55944116.0,173.0,9903.0,16.0,0.07,,2.0
97,97.0,Zambia,319755,,3976.0,,315266.0,,513.0,1.0,16543.0,206.0,3429405.0,177430.0,19328259.0,60.0,4861.0,6.0,,,27.0
98,98.0,North Macedonia,309790,21.0,9282.0,2.0,299936.0,71.0,572.0,,148708.0,4456.0,2023422.0,971297.0,2083217.0,7.0,224.0,1.0,10.0,1.0,275.0
